case_id,ground_truth,predictions_true,nr_prefixes
c_1002567868,580622.0000,1913374.85993,1
c_1002747267,625977.0000,2331497.84818,1
c_100886157,2066628.0000,2077206.20568,1
c_1009170679,2571045.0000,1953974.32898,1
c_1009850069,1121027.0000,2151897.04615,1
c_1010390571,685899.0000,1913374.85993,1
c_1012862839,688954.0000,1860745.11423,1
c_1013192848,2384632.0000,1880250.13123,1
c_1017053119,801080.0000,1901271.54149,1
c_1017644369,1391407.0000,2233030.13166,1
c_1018249155,682807.0000,2218210.77858,1
c_1018266027,1136376.0000,1553231.0088,1
c_1019849833,850156.0000,1985820.95536,1
c_102041449,480343.0000,2137317.57073,1
c_1022084723,1191292.0000,2137317.57073,1
c_1023366085,1005954.0000,2259471.32152,1
c_1024176807,1383107.0000,1301999.01865,1
c_1025001096,596359.0000,1655505.00811,1
c_1025696634,1201996.0000,2364944.93525,1
c_1030645475,676322.0000,2218210.77858,1
c_103087302,752217.0000,2259471.32152,1
c_103241719,1354248.0000,2673242.25617,1
c_1034123285,2310874.0000,1985820.95536,1
c_1036492833,634670.0000,1916740.54882,1
c_1037792917,1207857.0000,1671670.71687,1
c_1038660996,1896208.0000,2325653.57468,1
c_1039200421,2068132.0000,2181103.83211,1
c_104045138,632387.0000,2948371.94371,1
c_1041474698,147012.0000,2164371.27624,1
c_1042553173,815539.0000,2358323.94761,1
c_1043190619,261798.0000,530094.067123,1
c_1043782904,936955.0000,2137317.57073,1
c_1045162022,455.0000,2038231.65639,1
c_104674625,682.0000,1827633.83017,1
c_1047194763,601542.0000,2169635.46211,1
c_1048060037,2160649.0000,2157658.48592,1
c_1049619167,999088.0000,2164371.27624,1
c_1056684759,516967.0000,1879386.14524,1
c_1059867108,610693.0000,2350060.0385,1
c_1063519740,1536239.0000,1615554.62353,1
c_1066046865,1771958.0000,2259471.32152,1
c_1068144226,157591.0000,2153063.59167,1
c_107207908,2073082.0000,1558116.24312,1
c_1072284879,587618.0000,2199160.98876,1
c_1074738376,90749.0000,2710800.97292,1
c_1077448995,334224.0000,2267670.56878,1
c_1077802585,595987.0000,1558116.24312,1
c_1079472664,1604140.0000,2153063.59167,1
c_1079589,2320394.0000,2110848.21646,1
c_107990461,1142678.0000,2157658.48592,1
c_1081779435,1633135.0000,2192237.25173,1
c_1084818261,2330807.0000,2009653.98109,1
c_1086182019,830444.0000,1777512.37093,1
c_109019861,1192108.0000,2450232.3181,1
c_1091000447,845944.0000,2037338.76759,1
c_1092918410,2503403.0000,1822991.0565,1
c_1094370739,1174453.0000,2081208.83596,1
c_1095638977,1462396.0000,2233030.13166,1
c_1098309211,258484.0000,1873833.81072,1
