case_id,ground_truth,predictions_true,nr_prefixes
201559,1161671.0000,677752.099863,1
201562,2589273.0000,688109.425748,1
201565,0.0000,573145.845052,1
201568,1991630.0000,1454948.79177,1
201571,0.0000,428168.663234,1
201580,0.0000,560741.081618,1
201599,57.0000,543849.170303,1
201602,617651.0000,1352536.66876,1
201605,2594124.0000,1522620.73256,1
201608,0.0000,692839.737243,1
201611,4315851.0000,861765.747958,1
201614,0.0000,573145.845052,1
201617,2670177.0000,1456239.89209,1
201620,0.0000,370720.765392,1
201626,0.0000,1515892.45568,1
201629,90876.0000,1426379.61472,1
201635,1128539.0000,725156.198358,1
201644,1284786.0000,1522620.73256,1
201662,2409109.0000,1456239.89209,1
201665,0.0000,440573.426667,1
201668,1799888.0000,1298216.85003,1
201671,0.0000,573145.845052,1
201674,1732041.0000,688109.425748,1
201677,2657465.0000,1306684.47135,1
201680,1710680.0000,1516762.10257,1
201683,258205.0000,1382396.94613,1
201686,1139516.0000,1313663.70007,1
201689,0.0000,1382396.94613,1
201692,1202462.0000,1431443.6909,1
201695,763008.0000,1382396.94613,1
201701,782775.0000,1515892.45568,1
201704,1391783.0000,1329620.42463,1
201710,1972023.0000,1440779.07266,1
201713,0.0000,1166297.34065,1
201716,1790777.0000,1352536.66876,1
201719,757003.0000,1352536.66876,1
201722,842495.0000,1352536.66876,1
201725,2581982.0000,861765.747958,1
201728,0.0000,520451.206689,1
201731,15773.0000,744056.564013,1
201737,0.0000,573145.845052,1
201740,1701580.0000,1275280.89675,1
201743,3677686.0000,1440779.07266,1
201746,0.0000,660229.460013,1
201749,2470745.0000,1591380.25422,1
201752,1199876.0000,1329600.71548,1
201755,2086294.0000,1461303.96827,1
201758,1440759.0000,1319568.41865,1
201761,1781039.0000,1329600.71548,1
201767,5910.0000,688109.425748,1
201770,2916828.0000,1516762.10257,1
201776,0.0000,573283.493352,1
201779,2308875.0000,730974.397732,1
201782,1257900.0000,1382396.94613,1
201794,1971329.0000,1451951.0216,1
201797,2639095.0000,440573.426667,1
201800,779815.0000,440573.426667,1
201803,531727.0000,1289987.65032,1
201812,0.0000,775527.149244,1
201815,0.0000,856151.989121,1
201821,610734.0000,1347472.59258,1
201824,2587134.0000,1329620.42463,1
201830,0.0000,668779.146086,1
201833,2601578.0000,861765.747958,1
201836,1907198.0000,424665.202106,1
201839,0.0000,651298.392202,1
201842,3369788.0000,843066.572905,1
201845,1711014.0000,1382396.94613,1
201848,2849302.0000,1435714.99648,1
201851,0.0000,688109.425748,1
201854,4860827.0000,1530858.04374,1
201857,0.0000,440573.426667,1
201879,1316050.0000,612422.056762,1
201882,2676584.0000,380593.161566,1
201885,2963244.0000,1461303.96827,1
201888,1136011.0000,1352536.66876,1
201891,3452022.0000,688109.425748,1
201894,629421.0000,1352536.66876,1
201895,1383090.0000,1324556.34845,1
201900,1292887.0000,613848.314836,1
201903,81498.0000,250875.040867,1
201906,1760.0000,1516762.10257,1
201909,2932106.0000,1382396.94613,1
201912,482.0000,1153868.40575,1
201915,2670772.0000,1347472.59258,1
201918,617909.0000,1329600.71548,1
201921,2670440.0000,1410918.79529,1
201924,2455.0000,573145.845052,1
201927,2667785.0000,1354416.62582,1
201930,641058.0000,1337105.62772,1
201933,2041.0000,730769.957196,1
201936,2667226.0000,1382396.94613,1
201939,0.0000,372813.467175,1
201942,113516.0000,1403443.66144,1
201945,0.0000,1435714.99648,1
201948,0.0000,1516762.10257,1
201951,1996782.0000,688109.425748,1
201954,0.0000,1516163.79744,1
201960,0.0000,1461303.96827,1
201963,0.0000,1516163.79744,1
201966,0.0000,1461303.96827,1
201969,431.0000,356256.089476,1
201972,0.0000,1516163.79744,1
201975,0.0000,1516163.79744,1
201978,0.0000,1516163.79744,1
201981,0.0000,1516163.79744,1
201984,0.0000,1516762.10257,1
201987,6018.0000,688109.425748,1
201990,0.0000,1382396.94613,1
201993,0.0000,557237.620491,1
201996,332.0000,837452.814067,1
201999,351.0000,838671.235237,1
202002,620225.0000,1347472.59258,1
202005,793356.0000,1352536.66876,1
202008,0.0000,1352536.66876,1
202011,0.0000,520451.206689,1
202014,0.0000,725156.198358,1
202020,1663294.0000,1319568.41865,1
202023,0.0000,573145.845052,1
202026,2522847.0000,1329600.71548,1
202029,1098506.0000,1269055.58093,1
202032,0.0000,730769.957196,1
202035,1721473.0000,1359480.702,1
202038,4425419.0000,843066.572905,1
202039,2655734.0000,1461303.96827,1
202044,1896783.0000,1319568.41865,1
202047,2654407.0000,1516762.10257,1
202050,1873177.0000,1382396.94613,1
202056,2651748.0000,843066.572905,1
202059,1296537.0000,1352536.66876,1
202062,677339.0000,370720.765392,1
202065,4493.0000,409652.286307,1
202068,3249060.0000,1380330.64013,1
202071,3424352.0000,1435714.99648,1
